first,second,third,likelihood_ratio
classe,politique,française,302.20696020672733
euros,vous,voyez,305.68230142419804
euros,fraude,sociale,163.34065843863243
conseils,régionaux,conseils,180.75096516538852
adhérents,front,national,2457.0868236010647
gestion,argent,public,257.48399769293405
intérêts,france,français,61.700017628084865
pourrons,plus,décider,99.96229334254024
choses,soient,claires,134.1017716711471
france,nicolas,sarkozy,2215.907838376126
aller,emprunter,marchés,151.26796262607388
anticiper,sortie,euro,187.4630086736764
référendum,initiative,populaire,282.7127949726765
fonction,publique,territoriale,230.44249662546946
fonction,publique,etat,192.31632887375912
présidente,front,national,2488.229275672109
1700,milliards,euros,759.8385453866176
lutter,contre,corruption,305.114622335433
président,conseil,général,215.25061038705167
vive,front,national,2462.8263846814243
vive,république,vive,256.95713639672203
peuple,français,mais,573.7608049150163
peuple,peuple,peuple,117.67324847269919
devant,commission,discipline,156.43679080255566
coûte,milliards,euros,755.5644463166985
protections,intelligentes,frontières,136.84950898490794
toute,série,gens,314.6159266024898
toute,classe,politique,291.14839881540854
toute,misère,monde,91.98152192908162
régionaux,conseils,généraux,503.6219167904266
chine,etats,unis,702.2553129688403
grandes,économies,faire,123.89624225061985
messieurs,chers,amis,878.8131883832682
bleu,blanc,rouge,154.0208879264533
ambassadeur,france,tunisie,102.52759931301708
pense,certain,nombre,1388.4535650517382
candidate,élection,présidentielle,382.2411361771339
contre,plans,renflouement,215.73081323024212
enfants,petits,enfants,101.26602632357715
enfin,veux,dire,128.05448682065375
simple,bonne,raison,148.45114402709197
milliards,euros,dette,744.3533885176356
milliards,euros,vous,724.6902451750886
choix,oubliés,contre,87.25543275224379
emploi,pouvoir,achat,461.3928343788869
autres,pays,monde,157.1504669456178
gouvernement,nicolas,sarkozy,2237.104275143719
peser,baisse,salaires,274.01252121906253
êtes,train,dire,130.66525210090379
hommes,femmes,gauche,162.1849910538201
aide,médicale,etat,164.05856761769155
etat,collectivités,territoriales,301.3106744394818
etat,fort,etat,287.55127370873237
mettre,place,protectionnisme,312.74262173862445
mettre,protections,frontières,165.2507077415421
acquisition,automatique,nationalité,141.73305604493956
retour,monnaie,nationale,242.45483769996258
nicolas,sarkozy,soit,2227.9936004849965
concurrence,déloyale,pays,316.6265983451651
concurrence,internationale,déloyale,202.60430800027032
prêter,trésor,intérêt,189.67264683280476
système,protection,sociale,490.4858525816208
système,bout,souffle,168.75850838060222
système,monétaire,international,151.85193641390387
prix,essence,pompe,131.75152157213142
suis,présidente,front,132.40480366123813
préparé,sortie,euro,230.10124050566407
nous,sommes,camp,227.74750714451164
nous,pouvons,plus,156.60324566010007
nous,pourrons,plus,99.43898894333098
bénéfice,grands,groupes,570.1008900892416
était,trompé,porte,105.40725638352224
fort,etat,stratège,241.9282094078855
plus,plus,nombreux,208.17583681984942
plus,grand,bénéfice,124.91973841093058
empêcher,front,national,2483.914409276761
élections,cantonales,mars,267.7535851360709
conseil,général,corrèze,246.45249712158034
faut,mettre,place,321.2759656281603
faut,bien,dire,198.44965511565374
initiative,populaire,proportionnelle,235.67717144215007
mesdames,messieurs,chers,391.37646794341737
bonne,dépense,publique,238.74243557283125
bonne,gestion,argent,112.6874958120988
lorsqu,était,ministre,109.1268039923491
mauvaise,dépense,publique,352.3618949611668
république,vive,france,149.55013607622647
français,doivent,savoir,114.87136929511868
français,peuvent,plus,59.678868448487506
faisons,choix,oubliés,111.6043778437895
millions,chômeurs,pays,198.71242719395627
millions,fausses,cartes,140.2108002593027
banque,france,prérogative,207.12193260908742
avons,front,national,2432.109564825069
avons,certain,nombre,1390.585095909388
perte,pouvoir,achat,471.9279765517945
aura,préparé,sortie,148.56694277205548
baisse,allocations,familiales,187.90747193003855
baisse,salaires,français,185.6803054214637
certain,nombre,propositions,1408.1967236645328
certain,nombre,pays,1393.1979622350145
certain,nombre,autres,1392.2163058965903
projet,redressement,économique,148.63984826930326
intérêt,français,intérêt,116.72364577316496
intérêt,france,français,64.8710073414052
liberté,égalité,fraternité,202.0209179825958
front,national,monter,2454.9581360971206
front,national,parti,2447.228614931916
front,national,gens,2434.1574951047523
front,national,était,2431.361051424168
front,national,bien,2425.516860388575
manière,plus,générale,83.77703659253243
aujourd,plus,plus,88.4835603255041
poser,question,savoir,221.65203760652344
vous,savez,monsieur,338.86847561830285
vous,voyez,bien,279.7501191902186
monsieur,strauss,kahn,826.214607379573
monsieur,mais,monsieur,318.62824361281764
monsieur,aphatie,français,308.2269297811308
monsieur,monsieur,monsieur,150.12922490810982
retrouver,souveraineté,monétaire,136.9225048537529
jours,plus,tard,161.17741192426888
électeurs,front,national,2460.9010443684683
systèmes,protection,sociale,357.43634615570613
exception,culturelle,française,137.04274967250325
dominique,strauss,kahn,1053.023838485456
protectionnisme,égard,pays,87.78099532254885
emprunter,marchés,financiers,491.307172535225
pays,respectent,aucune,116.3761158171057
